Month,Name,Total
Jan,AL A&M Univ College,1820
Jan,Albertus Magnus College,1890
Jan,American College of Ed,883.33
Jan,Bainbridge Island,1200
Jan,CERRA SCNBN,1166.67
Jan,Clark County Educ Assoc,2450
Jan,Columbus State,5250
Jan,East Carolina University,1250
Jan,Floyd County School,2275
Jan,Georgia College & State University,2350
Jan,Georgia Southern State,4866.67
Jan,Homewood City Schools,2100
Jan,Illinois College,3050
Jan,Milligan College,1000
Jan,Monroe County SD,903.33
Jan,Piedmont College,3000
Jan,Portland State Univ,1750
Jan,Radford University,2808.33
Jan,Southeast South-Central Educational Cooperative,150
Jan,Southern Conn St Univ,2450
Jan,Southern South Cent,2150
Jan,St Thomas Aquinas College,750
Jan,Stanford University/SCALE,250
Jan,Univ of West Alabama,2100
Jan,University of Missouri - Kansas City,1666.67
Jan,University of Tennessee at Martin,1326.66
Jan,VA NBCT Network,1500
Jan,Walla Walla Public Schools,766.67
Jan,Washington County School,1925
Jan,Western Governors University,16000
Feb,Southeast South-Central Educational Cooperative,225
Mar,Augusta University,2462
Mar,Catawba College,1000
Mar,Colgate University,1000
Mar,College of Coastal Georgia,563
Mar,Cumberland University,625
Mar,Department of Defense Education Activity,1730
Mar,East Carolina University,1625
Mar,East Tennessee State University,438
Mar,George Mason University,2125
Mar,Georgia Gwinnett College,250
Mar,Governors State University,625
Mar,Illinois National Board Resource Center,2000
Mar,James Madison University College of Education,2875
Mar,Kentucky Community & Technical College,3922
Mar,Kutztown University of Pennsylvania,5500
Mar,Marietta College,1643.34
Mar,Mercer University,3500
Mar,Midland University,875
Mar,Millersville University of Pennsylvania,1666
Mar,Montclair State University,1375
Mar,Murray State University,1825
Mar,Piedmont College,1000
Mar,Purdue University,2500
Mar,Richland Elementary School,1600
Mar,State University of New York (SUNY),13920
Mar,SUNY College of Oneonta,455
Mar,Swarthmore College,412
Mar,Tennessee Wesleyan University,687
Mar,"University of California, Davis",807
Mar,University of Guam,250
Mar,University of Hawaii at Manoa,425
Mar,University of New Orleans,625
Mar,University of North Carolina Wilmington,1750
Mar,University of Tennessee at Martin,155.01
Mar,University of the Arts,500
Mar,Western Carolina University,7500
Mar,Winthrop University,875
Apr,Auburn University,512
Apr,Birmingham Southern College,1000
Apr,Central Washington University,532
Apr,Chapman University,625
Apr,City University of New York,850
Apr,College of Coastal Georgia,2700
Apr,College of Mount Saint Vincent,625
Apr,Concordia University Chicago,875
Apr,Georgia Southern University,1000
Apr,Governors State University,250
Apr,Ithaca College,875
Apr,KYDOE-Educator Recruitment and Development,1270
Apr,Manhattanville College,875
Apr,Mississippi State University-Meridian,500
Apr,Montclair State University,265
Apr,Morehead State University,875
Apr,National Louis University,625
Apr,Oregon State University,1000
Apr,Piedmont College,2000
Apr,Seattle University,500
Apr,Southern Adventist University,625
Apr,Spelman College,1900
Apr,SUNY College at Brockport,750
