Name,Month,Total
University 1,Jan,1820.0
University 108,Jan,1890.0
University 2,Jan,883.33
University 3,Jan,1200.0
University 4,Jan,1166.67
University 5,Jan,2450.0
University 6,Jan,5250.0
University 96,Jan,1250.0
University 7,Jan,2275.0
University 8,Jan,2350.0
University 9,Jan,4866.67
University 111,Jan,2100.0
University 10,Jan,3050.0
University 93,Jan,1000.0
University 10,Jan,903.33
University 39,Jan,3000.0
University 11,Jan,1750.0
University 133,Jan,2808.33
University 12,Jan,150.0
University 13,Jan,2450.0
University 14,Jan,2150.0
University 15,Jan,750.0
University 124,Jan,250.0
University 16,Jan,2100.0
University 17,Jan,1666.67
University 135,Jan,1326.66
University 138,Jan,1500.0
University 60,Jan,766.67
University 18,Jan,1925.0
University 44,Jan,16000.0
University 12,Feb,225.0
University 19,Mar,2462.0
University 152,Mar,1000.0
University 162,Mar,1000.0
University 158,Mar,563.0
University 167,Mar,625.0
University 93,Mar,1730.0
University 96,Mar,1625.0
University 69,Mar,438.0
University 160,Mar,2125.0
University 72,Mar,250.0
University 130,Mar,625.0
University 64,Mar,2000.0
University 155,Mar,2875.0
University 159,Mar,3922.0
University 163,Mar,5500.0
University 168,Mar,1643.34
University 153,Mar,3500.0
University 156,Mar,875.0
University 177,Mar,1666.0
University 172,Mar,1375.0
University 174,Mar,1825.0
University 39,Mar,1000.0
University 169,Mar,2500.0
University 151,Mar,1600.0
University 19,Mar,13920.0
University 173,Mar,455.0
University 154,Mar,412.0
University 170,Mar,687.0
University 175,Mar,807.0
University 171,Mar,250.0
University 176,Mar,425.0
University 20,Mar,625.0
University 81,Mar,1750.0
University 135,Mar,155.01
University 166,Mar,500.0
University 157,Mar,7500.0
University 13,Mar,875.0
University 199,Apr,512.0
University 21,Apr,1000.0
University 145,Apr,532.0
University 186,Apr,625.0
University 190,Apr,850.0
University 158,Apr,2700.0
University 200,Apr,625.0
University 183,Apr,875.0
University 132,Apr,1000.0
University 130,Apr,250.0
University 196,Apr,875.0
University 187,Apr,1270.0
University 180,Apr,875.0
University 22,Apr,500.0
University 172,Apr,265.0
University 3,Apr,875.0
University 188,Apr,625.0
University 202,Apr,1000.0
University 39,Apr,2000.0
University 182,Apr,500.0
University 181,Apr,625.0
University 184,Apr,1900.0
University 178,Apr,750.0
University 191,Apr,150.0
University 192,Apr,450.0
University 154,Apr,130.0
University 185,Apr,1375.0
University 179,Apr,1625.0
University 204,Apr,21500.0
University 189,Apr,5500.0
University 105,Apr,1600.0
University 30,Apr,50000.0
University 5,Apr,425.0
University 193,Apr,500.0
University 23,Apr,5250.0
University 137,Apr,4000.0
University 194,Apr,1700.0
University 197,Apr,3500.0
University 203,Apr,2500.0
University 135,Apr,132.5
University 109,Apr,62.5
University 195,Apr,250.0
University 44,Apr,16000.0
University 205,May,2500.0
University 40,May,2000.0
University 41,May,2500.0
University 208,May,3000.0
University 206,May,3500.0
University 22,May,750.0
University 68,May,2000.0
University 24,May,1000.0
University 142,May,2000.0
University 124,May,476.0
University 189,May,2000.0
University 175,May,2882.0
University 193,May,500.0
University 209,May,1900.0
University 214,Jun,3000.0
University 25,Jun,1029.0
University 66,Jun,2500.0
University 223,Jun,525.0
University 69,Jun,4500.0
University 26,Jun,1000.0
University 160,Jun,2500.0
University 215,Jun,1000.0
University 155,Jun,15750.0
University 27,Jun,1800.0
University 75,Jun,7500.0
University 180,Jun,875.0
University 28,Jun,4500.0
University 224,Jun,6500.0
University 216,Jun,625.0
University 220,Jun,4500.0
University 222,Jun,3000.0
University 106,Jun,4500.0
University 210,Jun,1125.0
University 173,Jun,2500.0
University 154,Jun,1600.0
University 217,Jun,1833.0
University 213,Jun,1800.0
University 221,Jun,3500.0
University 189,Jun,2000.0
University 29,Jun,500.0
University 11,Jun,1600.0
University 84,Jun,2250.0
University 23,Jun,375.0
University 211,Jun,1750.68
University 82,Jun,2000.0
University 225,Jun,2500.0
University 218,Jun,160.0
University 199,Jul,2300.0
University 19,Jul,3000.0
University 226,Jul,2650.0
University 236,Jul,1222.0
University 146,Jul,4000.0
University 132,Jul,2000.0
University 240,Jul,2500.0
University 190,Jul,1700.0
University 241,Jul,2500.0
University 59,Jul,1500.0
University 230,Jul,1920.0
University 96,Jul,1500.0
University 227,Jul,525.0
University 22,Jul,1000.0
University 172,Jul,1000.0
University 3,Jul,3500.0
University 188,Jul,2200.0
University 231,Jul,2500.0
University 233,Jul,1650.0
University 106,Jul,2000.0
University 229,Jul,1850.0
University 234,Jul,1621.0
University 181,Jul,2500.0
University 235,Jul,750.0
University 185,Jul,2750.0
University 317,Jul,1850.0
University 228,Jul,2250.0
University 238,Jul,3500.0
University 239,Jul,7000.0
University 243,Jul,525.0
University 30,Jul,1470.0
University 193,Jul,2000.0
University 244,Jul,2250.0
University 97,Jul,6500.0
University 245,Jul,3000.0
University 246,Aug,5700.0
University 259,Aug,1800.0
University 282,Aug,437.0
University 205,Aug,800.0
University 247,Aug,2600.0
University 283,Aug,1650.0
University 284,Aug,565.0
University 141,Aug,2600.0
University 256,Aug,2600.0
University 253,Aug,2000.0
University 279,Aug,4000.0
University 132,Aug,950.0
University 20,Aug,8500.0
University 277,Aug,3300.0
University 285,Aug,1000.0
University 31,Aug,717.0
University 252,Aug,550.0
University 248,Aug,425.0
University 167,Aug,2510.0
University 96,Aug,8000.0
University 290,Aug,2200.0
