Payee Name,Invoice Date,Invoice #,Vendor ID,Invoice Amount,Account Code ,Dates of service ,Mail Date,Unnamed: 8,Unnamed: 9,Unnamed: 10,Amount Paid, Pymt Received
University 1,11/18/19,241,,$200.00 ,4700-0-00-00000-00-0000,3 yr Subscription 5/22/19 to 5/31/22 additional users,11/18/19,,,,$200.00 ,1/8/20
University 92,12/16/19,248,,"$2,500.00 ",4700-0-00-00000-00-0000,1 yr Subscripture 12/31/19 to 12/31/20,12/16/19,,,,"$2,500.00 ",1/9/20
University 2,11/18/19,240,,"$1,250.00 ",4700-0-00-00000-00-0000,1 yr Subscription 12/31/19 to 12/31/20,11/18/19,,,,"$1,250.00 ",1/10/20
University 3,11/18/19,212,,$500.00 ,4700-0-00-00000-00-0000 ,1 yr Subscription 8/31/19 to 8/31/20,11/18/19,,,,$500.00 ,1/13/20
University 4,11/20/19,244,,$250.00 ,4700-0-00-00000-00-0000,1 yr Subscription 11/30/19 to 11/30/20,11/20/19,,,,$250.00 ,1/13/20
University 1,12/12/19,245,,$250.00 ,4700-0-00-00000-00-0000,3 yr Subscription 5/22/19 to 5/31/22 additional users,12/12/19,,,,$250.00 ,1/13/20
University 38,12/12/19,247,,"$1,100.00 ",4700-0-00-00000-00-0000,1 yr Subscription 11/30/19 to 11/30/20,12/12/19,,,,"$1,100.00 ",2/11/20
University 5,10/11/19,230,,"$15,000.00 ",4700-0-00-00000-00-0000,3 yr Subscription 9/29/19 to 9/29/22 2nd inv to reflect adjustment,10/17/19,,,,"$15,000.00 ",
University 135,11/1/19,235,,$130.00 ,4700-0-00-00000-00-0000,additional users  for 5/15/19 to 5/31/22,11/1/19,,,,$130.00 ,3/9/20
University 72,11/19/19,243,,"$2,500.00 ",4700-0-00-00000-00-0000,1 yr Subscription 12/1/19 to 11/30/19,11/19/19,,,,"$2,500.00 ",1/30/20
University 150,12/12/19,246,,$600.00 ,4700-0-00-00000-00-0000,1 yr Subscription 12/3/19 to 12/31/20,12/12/19,,,,$600.00 ,3/10/20
University 60,1/13/20,249,,"$2,300.00 ",4700-00000,3 yr Subscription 7/31/2020 to 7/31/2023,1/13/20,,,,"$2,300.00 ",2/12/20
University 6,1/27/20,254,,$750.00 ,4700-00000,1 yr Subscription 1/31/2020 to 1/31/2021,1/27/20,,,,$750.00 ,2/12/20
University 10,1/27/20,255,,$500.00 ,4700-00000,3 yr Subscription 1/31/2019 to 1/31/2022,1/27/20,,,,$500.00 ,2/12/20
University 7,1/13/20,250,,"$3,000.00 ",4700-00000,1 yr Subscription 1/31/2020 to 1/31/2021,1/13/20,,,,"$3,000.00 ",1/28/20
University 9,1/13/20,251,,"$2,350.00 ",4700-00000,1 yr Subscription 1/31/2020 to 1/31/2021,1/13/20,,,,"$2,350.00 ",1/28/20
University 93,1/14/20,252,,"$1,000.00 ",4700-00000,1 yr Subscription 1/31/2020 to 1/31/2021,1/14/20,,,,"$1,000.00 ",1/28/20
University 96,1/28/20,,,"$1,250.00 ",4700-00000,1 yr Subscription 2/29/2020 to 2/28/2020,,,,,"$1,250.00 ",1/28/20
University 124,1/14/20,253,,$250.00 ,4700-00000,1 yr Subscription 11/1/2019 to 10/31/2020,1/21/20,,,,$250.00 ,1/30/20
University 151,3/3/20,NB030320,,"$1,600.00 ",4700-00000,1 yr Subscription 3/2/2020 to 02/28/2021,3/3/20,,,,"$1,600.00 ",7/7/20
University 19,3/5/20,NB030520,,$750.00 ,4700-00000,1 yr Subscription 4/30/2020 to 4/30/2021,3/5/20,,,,$750.00 ,6/26/20
University 8,3/6/20,NB030620,,"$1,730.00 ",4700-00000,1 yr Subscription 3/2/2020 to 3/1/2021,3/3/20,,,,"$1,730.00 ",3/26/20
University 135,3/10/20,NB031020,,$310.00 ,4700-00000,3 yr Subscription 5/15/2019 to 05/31/2022,3/10/20,,,,$310.00 ,4/10/20
University 136,2/26/20,NB022620-01,,$450.00 ,4700-00000,3 yr Subscription 5/22/2019 to 5/31/2022,2/26/20,,,,$450.00 ,3/19/20
University 64,3/12/20,NB031220,,"$6,000.00 ",4700-00000,3 yr Subscription 5/1/2020 to 05/01/2023,3/12/20,,,,"$6,000.00 ",4/3/20
University 9,3/17/20,NB031720,,"$1,750.00 ",4700-00000,1 yr Subscription 8/1/2019 to 8/31/2020,3/17/20,,,,"$1,750.00 ",4/3/20
University 152,3/17/20,NB031720A,,"$1,000.00 ",4700-00000,1 yr Subscription 3/17/2020 to 3/31/2021,3/18/20,,,,$970.70 ,3/18/20
University 153,3/18/20,NB031820,,"$3,500.00 ",4700-00000,1 yr Subscription 3/20/2020 to 3/31/2021,3/18/20,,,,"$3,500.00 ",4/3/20
University 154,3/18/20,NB031820A,,$412.00 ,4700-00000,3 Mo Subscription 3/17/2020 to 6/30/2020,3/18/20,,,,$412.00 ,5/5/20
University 155,3/20/20,NB032020,,"$2,875.00 ",4700-00000,3 Mo Subscription 3/10/2020 to 6/30/2020,3/20/20,,,,"$2,875.00 ",4/17/20
University 156,3/20/20,NB032020A,,$875.00 ,4700-00000,3 Mo Subscription 3/19/2020 to 6/30/2020,3/20/20,,,,$874.18 ,3/21/20
University 13,3/20/20,NB032020B,,$875.00 ,4700-00000,3 Mo Subscription 3/19/2020 to 6/30/2020,3/20/20,,,,$875.00 ,3/21/20
University 19,3/20/20,NB032020C,,"$1,125.00 ",4700-00000,3 Mo Subscription 3/19/2020 to 6/30/2020,3/20/20,,,,"$1,125.00 ",5/28/20
University 39,3/20/20,NB032020D,,"$1,000.00 ",4700-00000,1 yr Subscription 1/31/2020 to 1/31/2021,3/20/20,,,,"$1,000.00 ",5/5/20
University 157,3/20/20,NB032020E,,"$7,500.00 ",4700-00000,1 yr Subscription 3/20/2020 to 3/31/2021,3/20/20,,,,"$7,500.00 ",4/3/20
University 158,3/23/20,NB032320,,$563.00 ,4700-00000,3 Mo Subscription 3/23/2020 to 6/30/2020,3/23/20,,,,$563.00 ,5/5/20
University 10,3/23/20,NB032320A,,"$3,922.00 ",4700-00000,3 Mo Subscription 3/20/2020 to 6/30/2020,3/23/20,,,,"$3,922.00 ",4/10/20
University 69,3/23/20,NB032320B,,$438.00 ,4700-00000,3 Mo Subscription 3/23/2020 to 6/30/2020,3/23/20,,,,$438.00 ,4/3/20
University 160,3/24/20,NB032420,,"$2,125.00 ",4700-00000,3 Mo Subscription 3/23/2020 to 6/30/2020,3/23/20,,,,"$2,125.00 ",4/17/20
University 162,3/25/20,NB032520,,"$1,000.00 ",4700-00000,1 yr Subscription 3/19/2020 to 3/31/2021,3/25/20,,,,"$1,000.00 ",4/18/20
University 20,3/25/20,NB032520A,,$625.00 ,4700-00000,3 Mo Subscription 3/25/2020 to 6/30/2020,3/25/20,,,,$625.00 ,5/5/20
University 166,3/25/20,NB032520B,,$516.00 ,4700-00000,3 Mo Subscription 3/23/2020 to 6/30/2020,3/25/20,,,,$516.00 ,3/27/20
University 130,3/25/20,NB032520C,,$625.00 ,4700-00000,3 Mo Subscription 3/23/2020 to 6/30/2020,3/25/20,,,,$625.00 ,5/5/20
University 161,3/25/20,NB032520D,,$587.00 ,4700-00000,3 Mo Subscription 3/24/2020 to 6/30/2020,3/25/20,,,,$587.00 ,4/17/20
University 72,3/25/20,NB032520E,,$250.00 ,4700-00000,3 Mo Subscription 3/24/2020 to 6/30/2020,3/25/20,,,,$250.00 ,7/7/20
University 163,3/25/20,NB032520F,,"$5,500.00 ",4700-00000,3 Mo Subscription 3/25/2020 to 6/30/2020,3/25/20,,,,"$5,500.00 ",5/28/20
University 19,3/25/20,NB032520G,,"$13,920.00 ",4700-00000,3 Mo Subscription 3/25/2020 to 6/30/2020,3/25/20,,,,"$13,920.00 ",4/14/20
University 168,3/26/20,NB032620,,"$4,830.00 ",4700-00000,3 yr Subscription 3/24/2020 to 3/31/2023,3/26/20,,,,"$4,830.00 ",4/17/20
University 169,3/26/20,NB032620A,,"$2,500.00 ",4700-00000,1 yr Subscription 3/25/2020 to 3/31/2021,3/26/20,,,,"$2,500.00 ",5/28/20
University 171,3/26/20,NB032620B,,$250.00 ,4700-00000,3 Mo Subscription 3/25/2020 to 6/30/2020,3/26/20,,,,$250.00 ,5/5/20
University 170,3/26/20,NB032620C,,$687.00 ,4700-00000,3 Mo Subscription 3/25/2020 to 6/30/2020,3/26/20,,,,$687.00 ,7/13/20
University 167,3/26/20,NB032620D,,$625.00 ,4700-00000,3 Mo Subscription 3/26/2020 to 6/30/2020,3/26/20,,,,$625.00 ,4/17/20
University 172,3/27/20,NB032720,,"$1,375.00 ",4700-00000,3 Mo Subscription 3/20/2020 to 6/30/2020,3/27/20,,,,"$1,361.25 ",5/15/20
University 173,3/27/20,NB032720A,,$455.00 ,4700-00000,3 Mo Subscription 3/25/2020 to 6/30/2020,3/27/20,,,,$455.00 ,4/14/20
University 175,3/30/20,NB033020,,$807.00 ,4700-00000,3 Mo Subscription 3/27/2020 to 6/30/2020,3/30/20,,,,$807.00 ,3/30/20
University 176,3/30/20,NB033020A,,$425.00 ,4700-00000,3 Mo Subscription 3/30/2020 to 6/30/2020,3/30/20,,,,$425.00 ,5/5/20
University 96,3/30/20,NB033020B,,"$1,625.00 ",4700-00000,3 Mo Subscription 3/30/2020 to 6/30/2020,3/30/20,,,,"$1,625.00 ",4/17/20
University 174,3/30/20,NB033020C,,"$1,825.00 ",4700-00000,3 Mo Subscription 3/30/2020 to 6/30/2020,3/30/20,,,,"$1,825.00 ",4/17/20
University 168,3/31/20,NB033120,,$100.00 ,4700-00000,3 yr Subscription 3/24/2020 to 3/31/2023,3/31/20,,,,$100.00 ,5/28/20
University 177,3/31/20,NB033120A,,"$1,666.00 ",4700-00000,5 Mo Subscription 3/27/2020 to 8/31/2020,3/31/20,,,,"$1,666.00 ",4/17/20
University 179,4/1/20,NB040120,,"$1,625.00 ",4700-00000,3 Mo Subscription 3/31/2020 to 6/30/2020,4/1/20,,,,"$1,625.00 ",5/5/20
University 178,4/1/20,NB040120A,,$750.00 ,4700-00000,3 Mo Subscription 3/27/2020 to 6/30/2020,4/1/20,,,,$750.00 ,
University 172,4/2/20,NB040220,,$265.00 ,4700-00000,3 Mo Subscription 3/20/2020 to 6/30/2020,4/2/20,,,,$265.00 ,5/5/20
University 109,4/2/20,NB040220A,,$62.50 ,4700-00000,3 Mo Subscription 4/1/2020 to 6/30/2020,4/2/20,,,,$62.50 ,5/5/20
University 135,4/2/20,NB040220B,,$132.50 ,4700-00000,3 Mo Subscription 3/24/2020 to 6/30/2020,4/2/20,,,,$132.50 ,4/18/20
University 181,4/2/20,NB040220C,,$625.00 ,4700-00000,3 Mo Subscription 4/2/2020 to 6/30/2020,4/2/20,,,,$625.00 ,5/28/20
University 180,4/2/20,NB040220D,,$875.00 ,4700-00000,3 Mo Subscription 4/2/2020 to 6/30/2020,4/2/20,,,,$875.00 ,4/17/20
University 182,4/3/20,NB040320,,$500.00 ,4700-00000,3 Mo Subscription 4/1/2020 to 6/30/2020,4/3/20,,,,$500.00 ,4/18/20
University 132,4/6/20,NB040320,,"$3,000.00 ",4700-00000,3 yr Subscription 5/31/2019 to 05/31/2022,4/6/20,,,,"$3,000.00 ",4/18/20
University 183,4/7/20,NB040720,,$875.00 ,4700-00000,3 Mo Subscription 4/6/2020 to 6/30/2020,4/7/20,,,,$875.00 ,5/5/20
University 185,4/7/20,NB040720A,,"$1,375.00 ",4700-00000,3 Mo Subscription 4/1/2020 to 6/30/2020,4/7/20,,,,"$1,375.00 ",4/18/20
University 184,4/7/20,NB040720B,,"$1,900.00 ",4700-00000,1 yr Subscription 4/1/2020 to 5/31/2021,4/7/20,,,,"$1,900.00 ",5/5/20
University 30,4/8/20,NB040820,,"$50,000.00 ",4700-00000,1 yr Subscription 10/1/2020 to 9/30/2021,4/8/20,,,,"$50,000.00 ",5/5/20
University 154,4/8/20,NB040820A,,$130.00 ,4700-00000,3 Mo Subscription 3/17/2020 to 6/30/2020,4/8/20,,,,$130.00 ,5/5/20
University 137,4/8/20,NB040820B,,"$1,900.00 ",4700-00000,1 yr Subscription 5/31/2020 to 5/31/2021,4/8/20,,,,"$1,900.00 ",4/18/20
University 137,4/9/20,NB040920,,"$2,100.00 ",4700-00000,1 yr Subscription 4/9/2020 to 3/31/2021,4/9/20,,,,"$2,100.00 ",4/18/20
University 215,,,,,,,,,,,,
University 188,4/9/20,NB040920B,,$625.00 ,4700-00000,3 Mo Subscription 4/8/2020 to 6/30/2020,4/9/20,,,,$625.00 ,5/5/20
University 187,4/9/20,NB040920C,,"$3,810.00 ",4700-00000,3 yr Subscription 4/8/2020 to 03/31/2023,4/9/20,,,,"$3,810.00 ",4/18/20
University 186,4/9/20,NB040920D,,$625.00 ,4700-00000,3 Mo Subscription 4/6/2020 to 7/7/2020,4/9/20,,,,$625.00 ,5/28/20
University 189,4/9/20,NB040920E,,"$5,500.00 ",4700-00000,1 yr Subscription 4/8/2020 to 3/31/2021,4/9/20,7/9/20,8/3/20,9/9/20,"$5,500.00 ",21-Sep
University 190,4/15/20,NB041520,,$625.00 ,4700-00000,3 Mo Subscription 4/10/2020 to 7/10/2020,4/15/20,,,,$625.00 ,4/18/20
University 195,4/15/20,NB041520A,,$250.00 ,4700-00000,3 Mo Subscription 4/9/2020 to 7/9/2020,4/15/20,,,,$250.00 ,4/28/20
University 191,4/15/20,NB041520B,,$150.00 ,4700-00000,3 Mo Subscription 3/25/2020 to 6/30/2020,4/15/20,7/9/20,,,$150.00 ,9/21/20
University 145,4/15/20,NB041520C,,$547.43 ,4700-00000,1 yr Subscription 10/1/2019 to 12/31/2020,4/15/20,,,,$531.25 ,4/21/20
University 194,4/15/20,NB041520D,,"$1,700.00 ",4700-00000,1 yr Subscription 3/26/2020 to 3/31/2021,4/15/20,,,,"$1,700.00 ",7/27/20
University 215,,NB041520E,,,,,,,,,,
University 192,4/15/20,NB041520F,,$450.00 ,4700-00000,3 Mo Subscription 4/13/2020 to 7/13/2020,4/15/20,,,,$450.00 ,6/11/20
University 193,4/15/20,NB041520G,,$500.00 ,4700-00000,3 Mo Subscription 4/8/2020 to 6/30/2020,4/15/20,,,,$500.00 ,5/5/20
University 3,4/15/20,NB041520H,,$875.00 ,4700-00000,3 Mo Subscription 3/23/2020 to 6/30/2020,4/15/20,,,,$875.00 ,5/5/20
University 190,4/15/20,NB041520I,,$225.00 ,4700-00000,3 Mo Subscription 4/10/2020 to 7/10/2020,4/15/20,,,,$225.00 ,5/5/20
University 196,4/17/20,NB041720,,$875.00 ,4700-00000,3 Mo Subscription 4/10/2020 to 7/10/2020,4/17/20,,,,$875.00 ,5/5/20
University 197,4/17/20,NB041720A,,"$3,500.00 ",4700-00000,1 yr Subscription 4/15/2020 to 4/31/2021,4/17/20,,,,"$3,500.00 ",4/18/20
