ID,Customers,Number of Users,Invoice Date,Invoice #,Year,Month,Invoice Amount,Subscription,2021 Prediction,Lost Customer,Customers Status,Account Code ,Dates of service ,Address,State,Lat,Long
1,Alabama A&M University-College of Education,246,3/23/18,105,2018,March,"$5,460.00 ",3 Years,"$1,820.00 ",,New,4700-0-00-00000-00-0000,3 Years Subscription 3/21/18 to 3/31/21,"4900 Meridian St N, Huntsville, AL 35811",AL,34.785061,-86.57328
2,Albertus Magnus College,267,5/16/18,127,2018,May,"$5,670.00 ",3 Years,"$1,890.00 ",,New,4700-0-00-00000-00-0000,3 Years Subscription 9/1/18 to 8/31/21,"700 Prospect St, New Haven, CT 06511",CT,41.331299,-72.92144
3,Albuquerque Public Schools,77,11/20/18,161,2018,November,"$2,270.00 ",1 Year,,2019,New,4700-0-00-00000-00-0000,1 Year Subscription 11/19/18 to 11/30/19,"Po Box 25704 Albuquerque, NM 87125",NM,35.09241,-106.64295
4,Alcorn State University,20,10/31/17,,2017,October,"$1,700.00 ",1 Year,,2018,New,4700-0-00-00000-00-0000,1 Year Subscription 8/31/17 to 8/31/18,"1000 Asu Dr, Lorman, MS 39096",MS,31.87571,-91.141739
5,Alderson Broaddus University,50,10/7/20,NB100820K,2020,October,$500.00 ,3 Months,$500.00 ,,New,4700-0-00-00000-00-0000,3 Months Subscription 10/2/2020 to 12/31/2020,"101 College Hill Rd, Philippi, WV 26416",WV,39.160261,-80.049048
5,Alderson Broaddus University,50,1/8/21,NB010821,2021,January,$500.00,3 Months,,,Returning,4700-0-00-00000-00-0000,3 Mo Subscription 1/20/2021 to 4/30/2021,"101 College Hill Rd, Philippi, WV 26416",WV,39.160261,-80.049048
6,Alverno College,125,9/13/20,NB091320G,2020,September,"$2,750.00 ",1 Year,"$2,750.00 ",,New,4700-0-00-00000-00-0000,1 Year Subscription 9/10/2020 to 7/30/2021,"3400 S 43rd St, Milwaukee, WI 53234",WI,42.983074,-87.967247
7,American College of Education,385,1/30/19,172,2019,January,"$6,850.00 ",3 Years,"$2,283.33 ",,New,4700-0-00-00000-00-0000,3 Years Subscription 1/31/19 to 1/31/22,"101 W Ohio St Suite 1200, Indianapolis, IN 46204",IN,39.769704,-86.16018
8,American University,150,8/27/18,147,2018,August,"$3,000.00 ",1 Year,,,New,4700-0-00-00000-00-0000,1 Year Subscription 8/24/18 to 8/31/18,"4400 Massachusetts Ave NW, Washington, DC 20016",DC,38.93739,-77.0892
8,American University,50,8/20/19,210,2019,August,"$2,000.00 ",1 Year,,2020,Returning,4700-0-00-00000-00-0000,1 Year Subscription 8/31/19 to 8/31/20,"4400 Massachusetts Ave NW, Washington, DC 20016",DC,38.93739,-77.0892
9,Anderson University,170,9/8/20,NB090820H,2020,September,$800.00 ,3 Months,,2020,New,4700-0-00-00000-00-0000,3 Months Subscription 9/1/2020 to 11/30/2020,"316 Boulevard, Anderson, SC 29621",SC,34.513986,-82.638732
10,Appalachian State University,50,8/3/20,NB080320B,2020,August,"$2,000.00 ",1 Year,"$2,000.00 ",,New,4700-0-00-00000-00-0000,1 Year Subscription 8/1/2020 to 7/31/2021,"287 Rivers St, Boone, NC 28608",NC,36.211015,-81.6777
10,Appalachian State University,370,8/6/20,NB080620A,2020,August,"$3,700.00 ",1 Year,"$3,700.00 ",,Returning,4700-0-00-00000-00-0000,1 Year Subscription 8/1/2020 to 7/31/2021,"287 Rivers St, Boone, NC 28608",NC,36.211015,-81.6777
11,Aquinas College,25,9/17/20,NB091720C,2020,September,$875.00 ,6 Months,$875.00 ,,New,4700-0-00-00000-00-0000,6 Months Subscription 10/1/2020 to 03/31/2021,"4210 Harding Pike, Nashville, TN 37205",TN,36.132562,-86.842684
12,Arcadia University,30,8/13/20,NB081320A,2020,August,"$1,800.00 ",1 Year,"$1,800.00 ",,New,4700-0-00-00000-00-0000,1 Year Subscription 8/1/2020 to 7/31/2021,"450 S. Easton Road,, Glenside, PA  19038",PA,40.091913,-75.165294
