Customers,Number of Users,Invoice Date,Invoice #,Invoice Amount,Subscription,Account Code ,Dates of service ,Address,State,Lat,Long
Alabama A&M University-College of Education,,3/23/18,105,"$5,460.00 ",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 3/21/18 to 3/31/21,"4900 Meridian St N, Huntsville, AL 35811",AL,34.785061,-86.57328
Albertus Magnus College,,5/16/18,127,"$5,670.00 ",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 9/1/18 to 8/31/21,"700 Prospect St, New Haven, CT 06511",CT,41.331299,-72.92144
Albuquerque Public Schools,,11/20/18,161,"$2,270.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 11/19/18 to 11/30/19,"Po Box 25704 Albuquerque, NM 87125",NM,35.09241,-106.64295
Alcorn State University ,,10/31/17,,"$1,700.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/31/17 to 8/31/18,"1000 Asu Dr, Lorman, MS 39096",MS,31.87571,-91.141739
Alderson Broaddus University ,50,10/7/20,NB100820K,$500.00 ,3 Months,4700-0-00-00000-00-0000,3 Months Subscription 10/2/2020 to 12/31/2020,"101 College Hill Rd, Philippi, WV 26416",WV,39.160261,-80.049048
Alverno College ,125,9/13/20,NB091320G,"$2,750.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 9/10/2020 to 7/30/2021,"3400 S 43rd St, Milwaukee, WI 53234",WI,42.983074,-87.967247
American College of Education,,1/30/19,172,"$6,850.00 ",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 1/31/19 to 1/31/22,"101 W Ohio St Suite 1200, Indianapolis, IN 46204",IN,39.769704,-86.16018
American University,,8/27/18,147,"$3,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/24/18 to 8/31/18,"4400 Massachusetts Ave NW, Washington, DC 20016",DC,38.93739,-77.0892
American University,,8/20/19,210,"$2,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/31/19 to 8/31/20,"4400 Massachusetts Ave NW, Washington, DC 20016",DC,38.93739,-77.0892
Anderson University,170,9/8/20,NB090820H,$800.00 ,3 Months,4700-0-00-00000-00-0000,3 Months Subscription 9/1/2020 to 11/30/2020,"316 Boulevard, Anderson, SC 29621",SC,34.513986,-82.638732
Appalachian State University,50,8/3/20,NB080320B,"$2,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/1/2020 to 7/31/2021,"287 Rivers St, Boone, NC 28608",NC,36.211015,-81.6777
Appalachian State University       ,370,8/6/20,NB080620A,"$3,700.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/1/2020 to 7/31/2021,"287 Rivers St, Boone, NC 28608",NC,36.211015,-81.6777
Aquinas College        ,25,9/17/20,NB091720C,$875.00 ,6 Months,4700-0-00-00000-00-0000,6 Months Subscription 10/1/2020 to 03/31/2021,"4210 Harding Pike, Nashville, TN 37205",TN,36.132562,-86.842684
Arcadia University ,30,8/13/20,NB081320A,"$1,800.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/1/2020 to 7/31/2021,"450 S. Easton Road,, Glenside, PA  19038",PA,40.091913,-75.165294
Arkansas Northeastern College ,20,11/4/20,NB110420,"$1,700.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/19/2020 to 10/31/2021,"2501 S Division St, Blytheville, AR 72315",AR,35.898621,-89.920963
Arlington Public Schools,25,10/24/17,82,$750.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/31/17 to 8/31/18,"2110 Washington Blvd, Arlington, VA 22204",VA,38.873463,-77.083371
Armstrong State University,250,6/10/16,AJ530,"$2,450.00 ",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 6/6/16 to 5/31/17,"11935 Abercorn St, Savannah, GA 31419",GA,31.978808,-81.162978
Armstrong State University,250,6/10/16,AJ530 (2),"$2,450.00 ",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 6/6/17 to 5/31/18,"11935 Abercorn St, Savannah, GA 31419",GA,31.978808,-81.162978
Armstrong State University,250,6/10/16,AJ530 (3),"$2,450.00 ",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 6/6/18 to 5/31/19,"11935 Abercorn St, Savannah, GA 31419",GA,31.978808,-81.162978
Auburn University,80,7/30/20,NB073020A,"$2,300.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 7/22/2020 to 7/31/2021,"5042 Haley Center, Auburn, AL 36849",AL,32.602286,-85.486081
Auburn University ,55,4/22/20,NB042220,$527.00 ,3 Months,4700-0-00-00000-00-0000,3 Months Subscription 4/17/2020 to 7/17/2020,"5042 Haley Center, Auburn, AL 36849",AL,32.602286,-85.486081
Augusta University,100,5/11/16,AJ517,$750.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 5/03/16 to 5/2/17,"1120 15th St, Augusta, GA 30912",GA,33.470787,-81.98959
Augusta University,100,4/18/17,22,$750.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 5/2/17 to 5/2/18,"1120 15th St, Augusta, GA 30912",GA,33.470787,-81.98959
Augusta University,100,3/19/18,103,$750.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 5/2/18 to 4/30/19,"1120 15th St, Augusta, GA 30912",GA,33.470787,-81.98959
Augusta University,25,4/4/19,N/A,$750.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 4/30/19 to 4/30/20,"1120 15th St, Augusta, GA 30912",GA,33.470787,-81.98959
Augusta University,50,3/5/20,NB030520,$750.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 4/30/2020 to 4/30/2021,"1120 15th St, Augusta, GA 30912",GA,33.470787,-81.98959
