Customers,Max_of_Invoice_Date,Count_of_Invoice_#,Sum_of_Invoice_Amount,Days_Since,R_Score,F_Score,M_Score,RMF_Score,Spending Score (1-5),,Today,1/31/21,
Alabama A&M University-College of Education,2018-03-23,1,"5,460.00",1045,1,1,4,114,1.14,,,,
Albertus Magnus College,2018-05-16,1,"5,670.00",991,1,1,4,114,1.14,,R Score,Top 20% is the most recent. 1 is the oldest and 5 is the most recent.,
Albuquerque Public Schools,2018-11-20,1,"2,270.00",803,1,1,2,112,1.12,,1,2046,100%
Alcorn State University,2017-10-31,,"1,700.00",1188,1,,2,102,1.02,,2,488,80%
Alderson Broaddus University,2021-01-08,2,"1,000.00",23,5,2,1,521,5.21,,3,192,60%
Alverno College,2020-09-13,1,"2,750.00",140,4,1,3,413,4.13,,4,145,40%
American College of Education,2019-01-30,1,"6,850.00",732,1,1,5,115,1.15,,5,73,20%
American University,2019-08-20,2,"5,000.00",530,1,2,4,124,1.24,,F Score,5 is the best for Frequency,
Anderson University,2020-09-08,1,800.00,145,3,1,1,311,3.11,,1,1,
Appalachian State University,2020-08-06,2,"5,700.00",178,3,2,4,324,3.24,,2,1,
Aquinas College,2020-09-17,1,875.00,136,4,1,1,411,4.11,,3,2,
Arcadia University,2020-08-13,1,"1,800.00",171,3,1,2,312,3.12,,4,2,
Arkansas Northeastern College,2020-11-04,1,"1,700.00",88,4,1,2,412,4.12,,5,8,
Arlington Public Schools,2017-10-24,1,750.00,1195,1,1,1,111,1.11,,M Score,Min and Max Revenue,
Armstrong State University,2016-06-10,3,"7,350.00",1696,1,3,5,135,1.35,,1,1500,
Auburn University,2020-07-30,2,"2,827.00",185,3,2,3,323,3.23,,2,2500,
Augusta University,2020-07-15,7,"7,875.00",200,2,5,5,255,2.55,,3,4000,
Augustana College,2020-12-09,2,"3,587.00",53,5,2,3,523,5.23,,4,6500,
Austin Peay State University,2021-01-05,5,"16,850.00",26,5,5,5,555,5.55,,5,150000,
Bainbridge Island School District,2019-06-24,1,"3,600.00",587,1,1,3,113,1.13,,,,
Ball State University,2021-01-19,2,"4,904.00",12,5,2,4,524,5.24,,,,
Bard College,2020-08-25,1,437.00,159,3,1,1,311,3.11,,,,
Barton College,2020-09-08,1,"2,300.00",145,3,1,2,312,3.12,,,,
Belhaven University,2020-07-08,1,"2,650.00",207,2,1,3,213,2.13,,,,
Bellarmine University,2020-10-01,3,"3,100.00",122,4,3,3,433,4.33,,,,
Berea College,2020-08-03,1,"2,600.00",181,3,1,3,313,3.13,,,,
Berry College,2020-08-25,1,"1,650.00",159,3,1,2,312,3.12,,,,
Billings Senior High School,2017-08-28,2,"1,500.00",1252,1,2,1,121,1.21,,,,
Birmingham-Southern College,2020-04-30,3,"3,500.00",276,2,3,3,233,2.33,,,,
"BloomBoard, Inc.",2021-01-04,4,"31,020.00",27,5,4,5,545,5.45,,,,
Bowie State University,2021-01-14,1,"1,900.00",17,5,1,2,512,5.12,,,,
Bowling Green Independent Schools,2020-11-16,2,"3,200.00",76,4,2,3,423,4.23,,,,
Bowling Green State University,2021-01-07,2,"2,582.00",24,5,2,3,523,5.23,,,,
Bradley University,2021-01-26,2,"1,102.00",5,5,2,1,521,5.21,,,,
Brandeis University,2020-09-08,1,"2,000.00",145,3,1,2,312,3.12,,,,
Brenau University,2020-08-07,2,"5,100.00",177,3,2,4,324,3.24,,,,
Bridgewater College,2020-08-12,1,"2,600.00",172,3,1,3,313,3.13,,,,
Brigham Young University – Hawaii,2020-06-16,1,"3,000.00",229,2,1,3,213,2.13,,,,
Brock University,2020-12-08,3,"4,012.00",54,5,3,4,534,5.34,,,,
Brown University,2021-01-15,3,"1,800.00",16,5,3,2,532,5.32,,,,
Bureau of Indian Affairs,2020-10-09,3,"65,200.00",114,4,3,5,435,4.35,,,,
CA State University Chico,2020-09-01,2,"4,500.00",152,3,2,4,324,3.24,,,,
CA State University Dominguez Hills,2020-09-24,1,"2,125.00",129,4,1,2,412,4.12,,,,
"CA State University, Stanislaus",2021-01-07,8,"7,760.00",24,5,5,5,555,5.55,,,,
California State Polytechnic University Pomona-Education/CEIS,2020-06-22,1,"1,029.00",223,2,1,1,211,2.11,,,,
California State University,2016-09-29,1,"8,000.00",1585,1,1,5,115,1.15,,,,
California State University Long Beach,2020-08-10,1,"2,000.00",174,3,1,2,312,3.12,,,,
California State University Northridge,2020-12-17,2,"3,626.30",45,5,2,3,523,5.23,,,,
"California State University, Fullerton",2020-08-24,1,"4,000.00",160,3,1,3,313,3.13,,,,
California University of Pennsylvania,2020-08-12,3,"17,950.00",172,3,3,5,335,3.35,,,,
Calvert County Public Schools,2020-09-11,1,"1,840.00",142,4,1,2,412,4.12,,,,
Campbell University,2018-08-23,2,"4,400.00",892,1,2,4,124,1.24,,,,
Campbellsville University,2021-01-22,2,822.00,9,5,2,1,521,5.21,,,,
Canisius College,2021-01-28,1,"1,140.00",3,5,1,1,511,5.11,,,,
Capital University,2020-10-15,1,"1,640.00",108,4,1,2,412,4.12,,,,
Catawba College,2020-03-17,1,"1,000.00",320,2,1,1,211,2.11,,,,
Central Connecticut State University,2020-06-04,2,"18,000.00",241,2,2,5,225,2.25,,,,
Central Washington University,2021-01-04,4,"5,547.43",27,5,4,4,544,5.44,,,,
Central Wyoming College,2020-12-01,1,"4,800.00",61,5,1,4,514,5.14,,,,
CERRA,2019-10-22,3,"6,000.00",467,2,3,4,234,2.34,,,,
Chapman University,2020-04-09,1,625.00,297,2,1,1,211,2.11,,,,
Charleston Southern University,2020-09-01,2,"12,050.00",152,3,2,5,325,3.25,,,,
Chicago State University,2020-07-29,1,"2,500.00",186,3,1,2,312,3.12,,,,
Christina School District,2016-08-23,1,"3,500.00",1622,1,1,3,113,1.13,,,,
City University of New York,2020-12-03,5,"5,295.00",59,5,5,4,554,5.54,,,,
Clarion University of Pennsylvania,2020-09-08,1,"4,500.00",145,3,1,4,314,3.14,,,,
Clark County Education Association,2018-07-26,2,"10,750.00",920,1,2,5,125,1.25,,,,
Clayton State University,2020-07-30,1,"2,500.00",185,3,1,2,312,3.12,,,,
Clemson University,2020-06-25,1,540.33,220,2,1,1,211,2.11,,,,
Cleveland County Schools,2019-02-27,1,"1,000.00",704,1,1,1,111,1.11,,,,
Coastal Carolina University,2020-08-20,1,"3,300.00",164,3,1,3,313,3.13,,,,
Colgate University,2020-03-25,1,"1,000.00",312,2,1,1,211,2.11,,,,
College for Creative Studies,2020-09-08,1,"1,976.30",145,3,1,2,312,3.12,,,,
College of Coastal Georgia,2020-04-27,2,"3,263.00",279,2,2,3,223,2.23,,,,
College of Mount Saint Vincent,2020-04-23,1,625.00,283,2,1,1,211,2.11,,,,
College of William and Mary,2018-09-11,4,"10,400.00",873,1,4,5,145,1.45,,,,
Colorado Education Association,2019-12-12,1,600.00,416,2,1,1,211,2.11,,,,
Colorado State University Pueblo,2020-09-01,1,"4,500.00",152,3,1,4,314,3.14,,,,
Columbia College,2020-08-25,1,"1,000.00",159,3,1,1,311,3.11,,,,
Columbus State University,2018-04-25,1,"15,750.00",1012,1,1,5,115,1.15,,,,
Concord University,2021-01-08,1,"1,625.00",23,5,1,2,512,5.12,,,,
Concordia University Chicago,2020-12-15,4,"3,113.01",47,5,4,3,543,5.43,,,,
Concordia University Irvine,2020-12-21,2,"1,075.00",41,5,2,1,521,5.21,,,,
Creighton University,2020-08-03,1,425.00,181,3,1,1,311,3.11,,,,
Crowder College,2020-09-17,1,"2,500.00",136,4,1,2,412,4.12,,,,
Crowley’s Ridge College,2020-10-07,1,395.00,116,4,1,1,411,4.11,,,,
CSU San Bernardino,2020-09-01,1,"5,000.00",152,3,1,4,314,3.14,,,,
"CTU Foundation, Inc",2016-03-24,1,"4,600.00",1774,1,1,4,114,1.14,,,,
Cumberland University,2020-08-19,2,"3,135.00",165,3,2,3,323,3.23,,,,
Delta State University,2020-07-23,2,"10,800.00",192,2,2,5,225,2.25,,,,
Department of Defense Education Activity-Teaching and Learning Division,2020-03-06,2,"3,230.00",331,2,2,3,223,2.23,,,,
Dickinson State University,2017-05-12,1,"2,550.00",1360,1,1,3,113,1.13,,,,
Duke University,2020-07-15,1,"1,920.00",200,2,1,2,212,2.12,,,,
Durham Public Schools,2017-04-27,1,"2,630.00",1375,1,1,3,113,1.13,,,,
East Carolina University,2020-08-13,6,"18,275.00",171,3,5,5,355,3.55,,,,
East Stroudsburg University & Colonial IU,2020-12-02,5,"7,500.00",60,5,5,5,555,5.55,,,,
East Tennessee State University,2020-09-08,4,"18,148.00",145,3,4,5,345,3.45,,,,
Eastern Kentucky University,2020-12-04,1,"3,125.00",58,5,1,3,513,5.13,,,,
