Name,Month,Total
AL A&M Univ College,Jan,1820.0
Albertus Magnus College,Jan,1890.0
American College of Ed,Jan,883.33
Bainbridge Island,Jan,1200.0
CERRA SCNBN,Jan,1166.67
Clark County Educ Assoc,Jan,2450.0
Columbus State,Jan,5250.0
East Carolina University,Jan,1250.0
Floyd County School,Jan,2275.0
Georgia College & State University,Jan,2350.0
Georgia Southern State,Jan,4866.67
Homewood City Schools,Jan,2100.0
Illinois College,Jan,3050.0
Milligan College,Jan,1000.0
Monroe County SD,Jan,903.33
Piedmont College,Jan,3000.0
Portland State Univ,Jan,1750.0
Radford University,Jan,2808.33
Southeast South-Central Educational Cooperative,Jan,150.0
Southern Conn St Univ,Jan,2450.0
Southern South Cent,Jan,2150.0
St Thomas Aquinas College,Jan,750.0
Stanford University/SCALE,Jan,250.0
Univ of West Alabama,Jan,2100.0
University of Missouri - Kansas City,Jan,1666.67
University of Tennessee at Martin,Jan,1326.66
VA NBCT Network,Jan,1500.0
Walla Walla Public Schools,Jan,766.67
Washington County School,Jan,1925.0
Western Governors University,Jan,16000.0
Southeast South-Central Educational Cooperative,Feb,225.0
Augusta University,Mar,2462.0
Catawba College,Mar,1000.0
Colgate University,Mar,1000.0
College of Coastal Georgia,Mar,563.0
Cumberland University,Mar,625.0
Department of Defense Education Activity,Mar,1730.0
East Carolina University,Mar,1625.0
East Tennessee State University,Mar,438.0
George Mason University,Mar,2125.0
Georgia Gwinnett College,Mar,250.0
Governors State University,Mar,625.0
Illinois National Board Resource Center,Mar,2000.0
James Madison University College of Education,Mar,2875.0
Kentucky Community & Technical College,Mar,3922.0
Kutztown University of Pennsylvania,Mar,5500.0
Marietta College,Mar,1643.34
Mercer University,Mar,3500.0
Midland University,Mar,875.0
Millersville University of Pennsylvania,Mar,1666.0
Montclair State University,Mar,1375.0
Murray State University,Mar,1825.0
Piedmont College,Mar,1000.0
Purdue University,Mar,2500.0
Richland Elementary School,Mar,1600.0
State University of New York (SUNY),Mar,13920.0
SUNY College of Oneonta,Mar,455.0
Swarthmore College,Mar,412.0
Tennessee Wesleyan University,Mar,687.0
"University of California, Davis",Mar,807.0
University of Guam,Mar,250.0
University of Hawaii at Manoa,Mar,425.0
University of New Orleans,Mar,625.0
University of North Carolina Wilmington,Mar,1750.0
University of Tennessee at Martin,Mar,155.01
University of the Arts,Mar,500.0
Western Carolina University,Mar,7500.0
Winthrop University,Mar,875.0
Auburn University,Apr,512.0
Birmingham Southern College,Apr,1000.0
Central Washington University,Apr,532.0
Chapman University,Apr,625.0
City University of New York,Apr,850.0
College of Coastal Georgia,Apr,2700.0
College of Mount Saint Vincent,Apr,625.0
Concordia University Chicago,Apr,875.0
Georgia Southern University,Apr,1000.0
Governors State University,Apr,250.0
Ithaca College,Apr,875.0
KYDOE-Educator Recruitment and Development,Apr,1270.0
Manhattanville College,Apr,875.0
Mississippi State University-Meridian,Apr,500.0
Montclair State University,Apr,265.0
Morehead State University,Apr,875.0
National Louis University,Apr,625.0
Oregon State University,Apr,1000.0
Piedmont College,Apr,2000.0
Seattle University,Apr,500.0
Southern Adventist University,Apr,625.0
Spelman College,Apr,1900.0
SUNY College at Brockport,Apr,750.0
SUNY Erie Community College,Apr,150.0
SUNY Plattsburgh,Apr,450.0
Swarthmore College,Apr,130.0
Syracuse University,Apr,1375.0
"Teachers College, Columbia University",Apr,1625.0
Texas A&M University,Apr,21500.0
Troy University,Apr,5500.0
Union University,Apr,1600.0
University of Alabama,Apr,50000.0
University of Jamestown,Apr,425.0
University of North Alabama,Apr,500.0
"University of North Carolina,Charlotte",Apr,5250.0
University of North Georgia,Apr,4000.0
University of Richmond,Apr,1700.0
University of San Francisco,Apr,3500.0
University of South Alabama,Apr,2500.0
University of Tennessee at Martin,Apr,132.5
University of West Alabama,Apr,62.5
University of Wisconsin Stevens Point,Apr,250.0
Western Governors University,Apr,16000.0
Bellarmine University,May,2500.0
Fayetteville State University,May,2000.0
Kennesaw State University,May,2500.0
Louisiana State University Baton Rouge,May,3000.0
NC A&T State University,May,3500.0
Northampton County Public Schools,May,750.0
Northwestern State University,May,2000.0
Saint Joseph’s College,May,1000.0
Sam Houston State University,May,2000.0
Stanford University/SCALE,May,476.0
Troy University,May,2000.0
"University of California, Davis",May,2882.0
University of North Alabama,May,500.0
William Paterson University,May,1900.0
Brigham Young University – Hawaii,Jun,3000.0
California State Polytechnic University Pomona-Education/CEI,Jun,1029.0
Central Connecticut State University,Jun,2500.0
Clemson University,Jun,525.0
East Tennessee State University,Jun,4500.0
Emporia University,Jun,1000.0
George Mason University,Jun,2500.0
Husson University,Jun,1000.0
James Madison University College of Education,Jun,15750.0
Johns Hopkins University,Jun,1800.0
Kansas State University,Jun,7500.0
Manhattanville College,Jun,875.0
New York University,Jun,4500.0
Northeastern Illinois University,Jun,6500.0
Northern Arizona University,Jun,625.0
Rider University,Jun,4500.0
Saint Xavier University,Jun,3000.0
San Jose State University,Jun,4500.0
Santa Rosa County District Schools,Jun,1125.0
SUNY College of Oneonta,Jun,2500.0
Swarthmore College,Jun,1600.0
Tacoma Public Schools,Jun,1833.0
The Support Network,Jun,1800.0
"The University of Tennessee, Knoxville",Jun,3500.0
Troy University,Jun,2000.0
"University of California,Riverside",Jun,500.0
University of Kentucky Libraries,Jun,1600.0
