Payee Name,Invoice Date,Invoice #,Vendor ID,Invoice Amount,Account Code ,Dates of service ,Mail Date,Unnamed: 8,Unnamed: 9,Unnamed: 10,Amount Paid, Pymt Received
Southeast/South-Central Educational Cooporative,11/18/19,241,,$200.00 ,4700-0-00-00000-00-0000,3 yr Subscription 5/22/19 to 5/31/22 additional users,11/18/19,,,,$200.00 ,1/8/20
Austin Peay State University,12/16/19,248,,"$2,500.00 ",4700-0-00-00000-00-0000,1 yr Subscripture 12/31/19 to 12/31/20,12/16/19,,,,"$2,500.00 ",1/9/20
"University of Californina,Riverside",11/18/19,240,,"$1,250.00 ",4700-0-00-00000-00-0000,1 yr Subscription 12/31/19 to 12/31/20,11/18/19,,,,"$1,250.00 ",1/10/20
Four Corners Coalition/Farmington High School,11/18/19,212,,$500.00 ,4700-0-00-00000-00-0000 ,1 yr Subscription 8/31/19 to 8/31/20,11/18/19,,,,$500.00 ,1/13/20
NM NT Santa Fe - Santa Fe Public Schools,11/20/19,244,,$250.00 ,4700-0-00-00000-00-0000,1 yr Subscription 11/30/19 to 11/30/20,11/20/19,,,,$250.00 ,1/13/20
Southeast/South-Central Educational Cooporative,12/12/19,245,,$250.00 ,4700-0-00-00000-00-0000,3 yr Subscription 5/22/19 to 5/31/22 additional users,12/12/19,,,,$250.00 ,1/13/20
Orange County DOE,12/12/19,247,,"$1,100.00 ",4700-0-00-00000-00-0000,1 yr Subscription 11/30/19 to 11/30/20,12/12/19,,,,"$1,100.00 ",2/11/20
"BloomBoard,Inc.",10/11/19,230,,"$15,000.00 ",4700-0-00-00000-00-0000,3 yr Subscription 9/29/19 to 9/29/22 2nd inv to reflect adjustment,10/17/19,,,,"$15,000.00 ",
University of Tennessee at Martin,11/1/19,235,,$130.00 ,4700-0-00-00000-00-0000,additional users  for 5/15/19 to 5/31/22,11/1/19,,,,$130.00 ,3/9/20
Georgia Gwinnett College,11/19/19,243,,"$2,500.00 ",4700-0-00-00000-00-0000,1 yr Subscription 12/1/19 to 11/30/19,11/19/19,,,,"$2,500.00 ",1/30/20
Colorado Education Association,12/12/19,246,,$600.00 ,4700-0-00-00000-00-0000,1 yr Subscription 12/3/19 to 12/31/20,12/12/19,,,,$600.00 ,3/10/20
Walla Walla Public Schools,1/13/20,249,,"$2,300.00 ",4700-00000,3 yr Subscription 7/31/2020 to 7/31/2023,1/13/20,,,,"$2,300.00 ",2/12/20
ST Thomas Aquinas College,1/27/20,254,,$750.00 ,4700-00000,1 yr Subscription 1/31/2020 to 1/31/2021,1/27/20,,,,$750.00 ,2/12/20
Illinois College,1/27/20,255,,$500.00 ,4700-00000,3 yr Subscription 1/31/2019 to 1/31/2022,1/27/20,,,,$500.00 ,2/12/20
Piedmont College School of Education,1/13/20,250,,"$3,000.00 ",4700-00000,1 yr Subscription 1/31/2020 to 1/31/2021,1/13/20,,,,"$3,000.00 ",1/28/20
Georgia College and State University,1/13/20,251,,"$2,350.00 ",4700-00000,1 yr Subscription 1/31/2020 to 1/31/2021,1/13/20,,,,"$2,350.00 ",1/28/20
Milligan College,1/14/20,252,,"$1,000.00 ",4700-00000,1 yr Subscription 1/31/2020 to 1/31/2021,1/14/20,,,,"$1,000.00 ",1/28/20
East Carolina University,1/28/20,,,"$1,250.00 ",4700-00000,1 yr Subscription 2/29/2020 to 2/28/2020,,,,,"$1,250.00 ",1/28/20
Stanford University/SCALE,1/14/20,253,,$250.00 ,4700-00000,1 yr Subscription 11/1/2019 to 10/31/2020,1/21/20,,,,$250.00 ,1/30/20
Richland Elementary School,3/3/20,NB030320,,"$1,600.00 ",4700-00000,1 yr Subscription 3/2/2020 to 02/28/2021,3/3/20,,,,"$1,600.00 ",7/7/20
Augusta University,3/5/20,NB030520,,$750.00 ,4700-00000,1 yr Subscription 4/30/2020 to 4/30/2021,3/5/20,,,,$750.00 ,6/26/20
"Department of Defense Education Activity-Teaching and 
Learning Division",3/6/20,NB030620,,"$1,730.00 ",4700-00000,1 yr Subscription 3/2/2020 to 3/1/2021,3/3/20,,,,"$1,730.00 ",3/26/20
University of Tennessee at Martin,3/10/20,NB031020,,$310.00 ,4700-00000,3 yr Subscription 5/15/2019 to 05/31/2022,3/10/20,,,,$310.00 ,4/10/20
Southeast South-Central Education Cooperative,2/26/20,NB022620-01,,$450.00 ,4700-00000,3 yr Subscription 5/22/2019 to 5/31/2022,2/26/20,,,,$450.00 ,3/19/20
Illinois National Board Resource Center,3/12/20,NB031220,,"$6,000.00 ",4700-00000,3 yr Subscription 5/1/2020 to 05/01/2023,3/12/20,,,,"$6,000.00 ",4/3/20
UNC Wilmington,3/17/20,NB031720,,"$1,750.00 ",4700-00000,1 yr Subscription 8/1/2019 to 8/31/2020,3/17/20,,,,"$1,750.00 ",4/3/20
Catawba College,3/17/20,NB031720A,,"$1,000.00 ",4700-00000,1 yr Subscription 3/17/2020 to 3/31/2021,3/18/20,,,,$970.70 ,3/18/20
Mercer University,3/18/20,NB031820,,"$3,500.00 ",4700-00000,1 yr Subscription 3/20/2020 to 3/31/2021,3/18/20,,,,"$3,500.00 ",4/3/20
Swarthmore College,3/18/20,NB031820A,,$412.00 ,4700-00000,3 Mo Subscription 3/17/2020 to 6/30/2020,3/18/20,,,,$412.00 ,5/5/20
James Madison University College of Education,3/20/20,NB032020,,"$2,875.00 ",4700-00000,3 Mo Subscription 3/10/2020 to 6/30/2020,3/20/20,,,,"$2,875.00 ",4/17/20
Midland University,3/20/20,NB032020A,,$875.00 ,4700-00000,3 Mo Subscription 3/19/2020 to 6/30/2020,3/20/20,,,,$874.18 ,3/21/20
Winthrop University,3/20/20,NB032020B,,$875.00 ,4700-00000,3 Mo Subscription 3/19/2020 to 6/30/2020,3/20/20,,,,$875.00 ,3/21/20
